"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 07 18:34:46 GMT 2023","Sun May 07 18:34:52 GMT 2023","6091","","tests.IssueTest","","tests.IssueTest","anotherTestIssue","Проверка страницы Issue",""
"passed","Sun May 07 18:35:05 GMT 2023","Sun May 07 18:35:06 GMT 2023","850","","tests.ZipFilesTest","","tests.ZipFilesTest","zipTestPDF","zipTestPDF()",""
"passed","Sun May 07 18:35:03 GMT 2023","Sun May 07 18:35:05 GMT 2023","2115","","tests.IssueTestWithoutAutorithation","","tests.IssueTestWithoutAutorithation","issueTest","issueTest()",""
"passed","Sun May 07 18:35:07 GMT 2023","Sun May 07 18:35:07 GMT 2023","62","","tests.ZipFilesTest","","tests.ZipFilesTest","jsonHeroesTest","Парсинг json",""
"passed","Sun May 07 18:35:07 GMT 2023","Sun May 07 18:35:07 GMT 2023","41","","tests.ZipFilesTest","","tests.ZipFilesTest","zipTestArchive","zipTestArchive()",""
"passed","Sun May 07 18:34:52 GMT 2023","Sun May 07 18:34:54 GMT 2023","2032","","tests.IssueTest","","tests.IssueTest","issueTest","Проверка страницы Issue",""
"passed","Sun May 07 18:35:05 GMT 2023","Sun May 07 18:35:05 GMT 2023","61","","tests.ZipFilesTest","","tests.ZipFilesTest","zipTestCvs","Чтение файла Csv в zip",""
"passed","Sun May 07 18:34:54 GMT 2023","Sun May 07 18:34:56 GMT 2023","1425","","tests.IssueTest","","tests.IssueTest","testIssueListener","Тест Issue с Listener",""
"passed","Sun May 07 18:34:56 GMT 2023","Sun May 07 18:35:03 GMT 2023","6850","","tests.IssueTestWithoutAutorithation","","tests.IssueTestWithoutAutorithation","sportMast","sportMast()",""
"passed","Sun May 07 18:35:06 GMT 2023","Sun May 07 18:35:06 GMT 2023","412","","tests.ZipFilesTest","","tests.ZipFilesTest","zipTestPdf","Чтение файла pdf в zip",""
"passed","Sun May 07 18:35:06 GMT 2023","Sun May 07 18:35:07 GMT 2023","1047","","tests.ZipFilesTest","","tests.ZipFilesTest","zipTestXlsx","Чтение файла Xlsx в zip",""
