"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","3","0","1","0","0"
"","Отрасли и Услуги","Открытие страниц  eCommerce и Разработка мобильных приложений","0","0","2","0","0"
