"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 27 14:35:03 GMT 2023","Sat May 27 14:35:07 GMT 2023","3273","","tests.AstonTests","","tests.AstonTests","contactWithUs","contactWithUs()",""
"failed","Sat May 27 14:34:52 GMT 2023","Sat May 27 14:35:03 GMT 2023","11549","","tests.AstonTests","","tests.AstonTests","careerAston","careerAston()",""
"passed","Sat May 27 14:35:21 GMT 2023","Sat May 27 14:35:25 GMT 2023","3438","","tests.AstonTests","","tests.AstonTests","servicesAndIndustries","servicesAndIndustries(String, String) [1] Отрасли, eCommerce",""
"passed","Sat May 27 14:35:25 GMT 2023","Sat May 27 14:35:27 GMT 2023","2911","","tests.AstonTests","","tests.AstonTests","servicesAndIndustries","servicesAndIndustries(String, String) [2] Услуги, Разработка мобильных приложений",""
"failed","Sat May 27 14:35:07 GMT 2023","Sat May 27 14:35:14 GMT 2023","7169","","tests.AstonTests","","tests.AstonTests","projectPrice","projectPrice()",""
"failed","Sat May 27 14:35:14 GMT 2023","Sat May 27 14:35:21 GMT 2023","7235","","tests.AstonTests","","tests.AstonTests","reactJs","reactJs()",""
