"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun May 07 18:15:08 GMT 2023","Sun May 07 18:15:15 GMT 2023","6095","","tests.IssueTest","","tests.IssueTest","testIssueListener","Тест Issue с Listener",""
"passed","Sun May 07 18:15:32 GMT 2023","Sun May 07 18:15:32 GMT 2023","38","","tests.ZipFilesTest","","tests.ZipFilesTest","zipTestCvs","Чтение файла Csv в zip",""
"passed","Sun May 07 18:15:34 GMT 2023","Sun May 07 18:15:34 GMT 2023","79","","tests.ZipFilesTest","","tests.ZipFilesTest","jsonHeroesTest","Парсинг json",""
"passed","Sun May 07 18:15:34 GMT 2023","Sun May 07 18:15:34 GMT 2023","20","","tests.ZipFilesTest","","tests.ZipFilesTest","zipTestArchive","zipTestArchive()",""
"failed","Sun May 07 18:14:52 GMT 2023","Sun May 07 18:15:02 GMT 2023","9788","","tests.IssueTest","","tests.IssueTest","anotherTestIssue","Проверка страницы Issue",""
"passed","Sun May 07 18:15:29 GMT 2023","Sun May 07 18:15:32 GMT 2023","3119","","tests.IssueTestWithoutAutorithation","","tests.IssueTestWithoutAutorithation","issueTest","issueTest()",""
"passed","Sun May 07 18:15:32 GMT 2023","Sun May 07 18:15:33 GMT 2023","848","","tests.ZipFilesTest","","tests.ZipFilesTest","zipTestPDF","zipTestPDF()",""
"passed","Sun May 07 18:15:33 GMT 2023","Sun May 07 18:15:34 GMT 2023","1085","","tests.ZipFilesTest","","tests.ZipFilesTest","zipTestXlsx","Чтение файла Xlsx в zip",""
"passed","Sun May 07 18:15:15 GMT 2023","Sun May 07 18:15:29 GMT 2023","14211","","tests.IssueTestWithoutAutorithation","","tests.IssueTestWithoutAutorithation","sportMast","sportMast()",""
"failed","Sun May 07 18:15:02 GMT 2023","Sun May 07 18:15:08 GMT 2023","6124","","tests.IssueTest","","tests.IssueTest","issueTest","Проверка страницы Issue",""
"passed","Sun May 07 18:15:33 GMT 2023","Sun May 07 18:15:33 GMT 2023","391","","tests.ZipFilesTest","","tests.ZipFilesTest","zipTestPdf","Чтение файла pdf в zip",""
