"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Отрасли и Услуги","Открытие страниц  eCommerce и Разработка мобильных приложений","0","0","2","0","0"
"","","","2","0","2","0","0"
