"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 07 17:51:32 GMT 2023","Sun May 07 17:51:32 GMT 2023","53","","tests.ZipFilesTest","","tests.ZipFilesTest","zipTestCvs","Чтение файла Csv в zip",""
"passed","Sun May 07 17:51:33 GMT 2023","Sun May 07 17:51:33 GMT 2023","445","","tests.ZipFilesTest","","tests.ZipFilesTest","zipTestPdf","Чтение файла pdf в zip",""
"passed","Sun May 07 17:51:32 GMT 2023","Sun May 07 17:51:33 GMT 2023","938","","tests.ZipFilesTest","","tests.ZipFilesTest","zipTestPDF","zipTestPDF()",""
"passed","Sun May 07 17:51:20 GMT 2023","Sun May 07 17:51:29 GMT 2023","8495","","tests.IssueTestWithoutAutorithation","","tests.IssueTestWithoutAutorithation","sportMast","sportMast()",""
"failed","Sun May 07 17:50:55 GMT 2023","Sun May 07 17:51:06 GMT 2023","11110","","tests.IssueTest","","tests.IssueTest","anotherTestIssue","Проверка страницы Issue",""
"passed","Sun May 07 17:51:35 GMT 2023","Sun May 07 17:51:35 GMT 2023","83","","tests.ZipFilesTest","","tests.ZipFilesTest","jsonHeroesTest","Парсинг json",""
"passed","Sun May 07 17:51:29 GMT 2023","Sun May 07 17:51:32 GMT 2023","3279","","tests.IssueTestWithoutAutorithation","","tests.IssueTestWithoutAutorithation","issueTest","issueTest()",""
"passed","Sun May 07 17:51:34 GMT 2023","Sun May 07 17:51:35 GMT 2023","42","","tests.ZipFilesTest","","tests.ZipFilesTest","zipTestArchive","zipTestArchive()",""
"failed","Sun May 07 17:51:13 GMT 2023","Sun May 07 17:51:20 GMT 2023","6751","","tests.IssueTest","","tests.IssueTest","testIssueListener","Тест Issue с Listener",""
"failed","Sun May 07 17:51:06 GMT 2023","Sun May 07 17:51:13 GMT 2023","6860","","tests.IssueTest","","tests.IssueTest","issueTest","Проверка страницы Issue",""
"passed","Sun May 07 17:51:33 GMT 2023","Sun May 07 17:51:34 GMT 2023","1196","","tests.ZipFilesTest","","tests.ZipFilesTest","zipTestXlsx","Чтение файла Xlsx в zip",""
